324,-362,397,-24,-401,417,-16,8
328,-354,390,-20,-410,420,-12,8
333,-368,398,-24,-419,423,-5,8
337,-378,393,-25,-428,427,0,8
345,-404,418,-13,-453,437,14,9
350,-409,424,1,-466,442,22,9
355,-421,427,12,-478,448,28,9
360,-437,438,16,-495,454,38,9
365,-440,430,27,-513,465,45,9
370,-444,430,32,-533,474,56,9
375,-439,435,37,-552,483,65,9
377,-451,441,44,-573,497,72,13
386,-467,450,52,-578,490,83,9
398,-483,478,69,-587,478,103,8
404,-479,483,73,-593,474,112,7
410,-493,495,78,-605,474,122,7
417,-507,492,78,-615,471,134,6
426,-518,476,82,-623,467,146,6
434,-527,462,88,-631,466,155,6
443,-557,473,100,-638,462,165,5
451,-572,457,114,-643,458,174,5
459,-594,457,121,-648,457,181,5
467,-598,462,136,-653,454,189,4
482,-592,437,137,-661,449,201,3
491,-619,436,153,-665,448,207,3
498,-628,422,159,-669,447,212,3
506,-635,432,170,-672,446,217,4
515,-643,443,182,-675,444,223,3
522,-634,420,186,-678,444,226,2
530,-641,434,188,-680,443,230,2
538,-656,434,202,-684,442,234,3
545,-663,440,205,-688,442,238,4
555,-667,442,205,-689,439,243,2
570,-668,430,214,-695,438,251,2
579,-667,428,219,-698,437,255,2
586,-667,434,229,-701,436,259,1
592,-679,438,241,-704,435,263,3
602,-675,433,245,-707,432,269,3
611,-690,440,240,-710,430,273,2
619,-688,425,242,-712,430,276,1
626,-687,416,247,-715,430,280,3
635,-710,422,258,-718,428,285,2
642,-707,420,275,-721,428,289,3
660,-726,419,299,-727,425,298,2
669,-691,406,305,-731,425,302,2
677,-693,414,298,-735,423,306,3
685,-703,432,279,-739,421,313,3
695,-716,423,281,-743,419,320,3
703,-707,415,290,-748,417,326,3
713,-716,409,295,-752,416,331,3
722,-716,400,295,-758,415,339,3
732,-738,406,311,-764,415,346,3
743,-757,410,321,-771,414,353,3
764,-747,393,359,-784,415,365,7
770,-744,392,347,-783,413,367,9
782,-741,386,332,-783,409,371,5
789,-752,395,335,-774,402,369,5
792,-773,404,343,-767,397,368,5
795,-772,385,353,-761,393,366,5
799,-773,387,367,-757,389,366,5
804,-785,383,378,-752,386,364,6
810,-778,380,390,-749,383,365,6
815,-764,395,380,-745,380,363,6
828,-773,397,362,-739,371,367,5
834,-750,375,370,-737,368,367,5
840,-742,374,383,-734,364,368,5
846,-741,361,398,-732,362,368,5
853,-743,380,411,-730,359,368,5
859,-722,384,383,-728,355,369,5
865,-702,382,375,-725,350,371,6
871,-698,373,370,-724,346,373,5
878,-731,362,366,-722,340,377,5
883,-727,338,355,-719,335,380,5
897,-736,323,366,-714,324,388,5
903,-707,325,351,-711,314,395,5
909,-700,324,358,-709,312,395,5
914,-705,330,373,-706,304,400,5
921,-698,321,374,-704,300,402,5
927,-702,308,394,-701,295,404,6
933,-709,313,402,-698,288,408,5
940,-687,306,374,-695,280,413,4
950,-685,295,383,-688,268,418,10
